Title,Location,Price,Area,Rooms
                        Apartment Wiborgeiland                            ,            1014 ZC Amsterdam (Houthavens)        ,"                €2,975 per month            ",100 m²,3 rooms
                        Apartment Rustenburgerstraat 146 A20                            ,            1073 GJ Amsterdam (Nieuwe Pijp)        ,"                €2,300 per month            ",55 m²,3 rooms
                        Apartment Valeriusplein 26 3                            ,            1075 BH Amsterdam (Willemspark)        ,"                €4,000 per month            ",85 m²,3 rooms
                        Apartment Tweede Jan Steenstraat 25 H                            ,            1073 VL Amsterdam (Oude Pijp)        ,"                €2,675 per month            ",83 m²,3 rooms
                        Apartment Pieter Cornelisz. Hooftstraat                            ,            1071 BM Amsterdam (Museumkwartier)        ,"                €2,750 per month            ",70 m²,3 rooms
                        Apartment Van Baerlestraat 14 3                            ,            1071 AW Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",162 m²,4 rooms
                        Apartment Tommaso Albinonistraat 166                            ,            1083 HM Amsterdam (Zuidas)        ,"                €5,000 per month            ",197 m²,5 rooms
                        Apartment Den Texstraat 8 B                            ,            1017 ZA Amsterdam (De Weteringschans)        ,"                €3,950 per month            ",126 m²,3 rooms
                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,395 per month            ",40 m²,2 rooms
                        Apartment Johannes Verhulststraat                            ,            1071 NE Amsterdam (Museumkwartier)        ,"                €3,200 per month            ",135 m²,5 rooms
                        House Prinseneiland 59                            ,            1013 LM Amsterdam (Haarlemmerbuurt)        ,"                €2,950 per month            ",120 m²,3 rooms
                        Apartment Nieuwendijk                            ,            1012 MP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",92 m²,3 rooms
                        Apartment Recht Boomssloot 14 E                            ,            1011 EA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,950 per month            ",145 m²,4 rooms
                        House Le Tourmalet 26                            ,            1060 NX Amsterdam (Middelveldsche Akerpolder)        ,"                €2,000 per month            ",134 m²,4 rooms
                        Apartment Ruysdaelkade 15 II                            ,            1072 AG Amsterdam (Oude Pijp)        ,"                €3,450 per month            ",101 m²,4 rooms
                        Apartment Leliegracht 25 B                            ,            1016 GR Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",92 m²,3 rooms
                        Apartment Bilderdijkkade                            ,            1053 VK Amsterdam (Van Lennepbuurt)        ,"                €2,700 per month            ",115 m²,2 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Solitudolaan                            ,            1096 DS Amsterdam (Omval/Overamstel)        ,"                €6,500 per month            ",204 m²,7 rooms
                        Apartment Bloemstraat 13 B                            ,            1016 KV Amsterdam (Jordaan)        ,"                €2,850 per month            ",78 m²,3 rooms
                        House Lindenstraat 3                            ,            1015 KV Amsterdam (Jordaan)        ,"                €4,500 per month            ",144 m²,9 rooms
                        Apartment Tollensstraat 63 C                            ,            1053 RS Amsterdam (Kinkerbuurt)        ,"                €1,550 per month            ",40 m²,2 rooms
                        Apartment Vincent van Goghstraat                            ,            1072 KZ Amsterdam (Nieuwe Pijp)        ,"                €1,500 per month            ",50 m²,2 rooms
                        Apartment P. Hans Frankfurthersingel                            ,            1060 TN Amsterdam (Middelveldsche Akerpolder)        ,"                €1,650 per month            ",78 m²,3 rooms
                        Apartment Baarsjesweg                            ,            1058 AD Amsterdam (Westindische Buurt)        ,"                €2,500 per month            ",50 m²,2 rooms
                        Apartment Rooseveltlaan                            ,            1079 AB Amsterdam (Scheldebuurt)        ,"                €2,800 per month            ",143 m²,5 rooms
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,488 per month            ",49 m²,1 room
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,900 per month            ",73 m²,3 rooms
                        Apartment Rustenburgerstraat 145                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",87 m²,3 rooms
                        Apartment Herengracht 579 3                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €3,950 per month            ",110 m²,3 rooms
                        Apartment IJburglaan                            ,            1087 CE Amsterdam (IJburg West)        ,"                €2,600 per month            ",110 m²,2 rooms
                        Apartment Koningslaan 24 II                            ,            1075 AD Amsterdam (Willemspark)        ,"                €3,950 per month            ",83 m²,3 rooms
                        Apartment Van Boshuizenstraat                            ,            1082 AR Amsterdam (Buitenveldert-Oost)        ,"                €2,450 per month            ",102 m²,3 rooms
                        Apartment Osdorper Ban                            ,            1069 GA Amsterdam (Osdorp-Midden)        ,"                €2,195 per month            ",95 m²,3 rooms
                        Apartment Leidsegracht                            ,            1016 CR Amsterdam (Jordaan)        ,"                €2,950 per month            ",106 m²,3 rooms
                        Apartment Rijnstraat 222 1                            ,            1079 HV Amsterdam (Rijnbuurt)        ,"                €2,250 per month            ",83 m²,2 rooms
                        Apartment Parnassusweg                            ,            1077 DE Amsterdam (Prinses Irenebuurt e.o.)        ,"                €2,750 per month            ",100 m²,4 rooms
                        Apartment Planciusstraat                            ,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",157 m²,3 rooms
                        Apartment Damstraat 1 E                            ,            1012 JL Amsterdam (Burgwallen-Oude Zijde)        ,"                €4,000 per month            ",100 m²,3 rooms
                        Apartment Nieuwe Keizersgracht 63 A                            ,            1018 VD Amsterdam (Weesperbuurt/Plantage)        ,"                €3,500 per month            ",140 m²,5 rooms
                        Apartment Koningslaan 24 C                            ,            1075 AD Amsterdam (Willemspark)        ,"                €3,950 per month            ",83 m²,3 rooms
                        Apartment Westerstraat                            ,            1015 LZ Amsterdam (Jordaan)        ,"                €1,950 per month            ",50 m²,2 rooms
                        Apartment Keizersgracht 680 II+III                            ,            1017 ET Amsterdam (Grachtengordel-Zuid)        ,"                €3,950 per month            ",125 m²,3 rooms
                        Apartment Alexander Boersstraat 31 I                            ,            1071 KV Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",61 m²,2 rooms
                        Apartment Koninginneweg                            ,            1075 CT Amsterdam (Willemspark)        ,"                €4,000 per month            ",147 m²,4 rooms
                        Apartment Borneostraat                            ,            1094 CJ Amsterdam (Indische Buurt West)        ,"                €2,500 per month            ",142 m²,4 rooms
                        Apartment Stadionweg                            ,            1077 TA Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",120 m²,3 rooms
                        Apartment Voorthuizenstraat 17                            ,            1106 DJ Amsterdam (Gein)        ,"                €1,950 per month            ",130 m²,5 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Sarphatistraat                            ,            1018 GK Amsterdam (Weesperbuurt/Plantage)        ,"                €4,950 per month            ",142 m²,5 rooms
                        Apartment Rozengracht                            ,            1016 SZ Amsterdam (Jordaan)        ,"                €2,500 per month            ",80 m²,2 rooms
                        Apartment Singel                            ,            1016 AC Amsterdam (Grachtengordel-West)        ,"                €3,450 per month            ",105 m²,4 rooms
                        Apartment Graafschapstraat                            ,            1079 PE Amsterdam (Scheldebuurt)        ,"                €1,855 per month            ",73 m²,3 rooms
                        Apartment Herengracht 132 C                            ,            1015 BV Amsterdam (Grachtengordel-West)        ,"                €10,500 per month            ",190 m²,4 rooms
                        Apartment Keizersgracht 114                            ,            1015 CV Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",80 m²,4 rooms
                        Apartment Johannes Verhulststraat 224 H                            ,            1075 HG Amsterdam (Willemspark)        ,"                €3,750 per month            ",140 m²,5 rooms
                        Apartment Beethovenstraat                            ,            1077 JP Amsterdam (Apollobuurt)        ,"                €3,800 per month            ",134 m²,3 rooms
                        Apartment Duke Ellingtonstraat                            ,            1066 GE Amsterdam (Sloter-/Riekerpolder)        ,"                €2,150 per month            ",94 m²,1 room
                        House Prinsengracht 516                            ,            1017 KJ Amsterdam (De Weteringschans)        ,"                €13,500 per month            ",536 m²,5 rooms
                        Apartment Tweede Oosterparkstraat 184 H                            ,            1092 BT Amsterdam (Oosterparkbuurt)        ,"                €2,100 per month            ",84 m²,3 rooms
                        Apartment Roerstraat                            ,            1078 LL Amsterdam (Scheldebuurt)        ,"                €2,300 per month            ",75 m²,3 rooms
                        Apartment Geschutswerf                            ,            1018 AW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,495 per month            ",170 m²,4 rooms
                        Apartment Uiterwaardenstraat                            ,            1079 DD Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",120 m²,4 rooms
                        Apartment Orteliusstraat 221 3                            ,            1056 NR Amsterdam (Van Galenbuurt)        ,"                €1,850 per month            ",60 m²,2 rooms
                        House Simon Stevinstraat 33 hs                            ,            1097 BX Amsterdam (Frankendael)        ,"                €3,250 per month            ",138 m²,5 rooms
                        Apartment Olympiaplein 19 BV                            ,            1077 CK Amsterdam (Apollobuurt)        ,"                €4,500 per month            ",200 m²,6 rooms
                        Apartment Jan Luijkenstraat                            ,            1071 CS Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",236 m²,4 rooms
                        Apartment Van Baerlestraat 72 D                            ,            1071 BA Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",150 m²,3 rooms
                        Apartment Minervalaan                            ,            1077 PK Amsterdam (Apollobuurt)        ,"                €3,950 per month            ",140 m²,3 rooms
                        Apartment Keizersgracht 734 C                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,250 per month            ",136 m²,3 rooms
                        Apartment Vossiusstraat 39 hs                            ,            1071 AH Amsterdam (Museumkwartier)        ,"                €6,500 per month            ",260 m²,7 rooms
                        Apartment Herengracht                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €5,400 per month            ",125 m²,3 rooms
                        Apartment Lodewijk van Deysselstraat                            ,            1067 CJ Amsterdam (Geuzenveld)        ,"                €1,160 per month            ",83 m²,3 rooms
                        House Valeriusplein                            ,            1075 BJ Amsterdam (Willemspark)        ,"                €8,000 per month            ",366 m²,6 rooms
                        Apartment Nicolaas Witsenkade                            ,            1017 ZS Amsterdam (De Weteringschans)        ,"                €7,950 per month            ",200 m²,6 rooms
                        Apartment Keizersgracht                            ,            1017 EM Amsterdam (Grachtengordel-Zuid)        ,"                €10,750 per month            ",320 m²,7 rooms
                        Apartment Singel 91 E                            ,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,850 per month            ",110 m²,2 rooms
                        Apartment Valeriusstraat 24 hs                            ,            1071 MJ Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",148 m²,5 rooms
                        Apartment Kerkstraat                            ,            1017 HW Amsterdam (Grachtengordel-Zuid)        ,"                €5,000 per month            ",120 m²,3 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €1,665 per month            ",64 m²,2 rooms
                        Apartment IJselstraat 87 H                            ,            1078 CG Amsterdam (IJselbuurt)        ,"                €1,875 per month            ",50 m²,3 rooms
                        Apartment Eerste Schinkelstraat 23 H                            ,            1075 TV Amsterdam (Schinkelbuurt)        ,"                €3,950 per month            ",150 m²,4 rooms
                        House Van Breestraat 139 hs                            ,            1071 ZL Amsterdam (Museumkwartier)        ,"                €4,950 per month            ",140 m²,5 rooms
                        Apartment Wagenstraat                            ,            1017 CZ Amsterdam (Grachtengordel-Zuid)        ,"                €3,100 per month            ",90 m²,3 rooms
                        Apartment De Lairessestraat 172 B                            ,            1075 HM Amsterdam (Willemspark)        ,"                €2,950 per month            ",84 m²,3 rooms
                        Apartment Laan der Hesperiden 16 H                            ,            1076 DK Amsterdam (Stadionbuurt)        ,"                €3,500 per month            ",127 m²,3 rooms
                        Apartment Plantage Middenlaan                            ,            1018 DA Amsterdam (Weesperbuurt/Plantage)        ,"                €2,950 per month            ",140 m²,4 rooms
                        Apartment Oosterpark 62 I                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms
                        Apartment Oosterpark 62 II                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms
                        Apartment Stadionweg 140 I                            ,            1077 SX Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",111 m²,4 rooms
                        Apartment Kleiburg                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,095 per month            ",132 m²,4 rooms
                        Apartment Geschutswerf 63                            ,            1018 AW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,500 per month            ",164 m²,2 rooms
                        Apartment Oudeschans 18 III                            ,            1011 LA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",100 m²,3 rooms
                        Apartment Leidsekade 102 A                            ,            1017 PP Amsterdam (De Weteringschans)        ,"                €4,950 per month            ",153 m²,4 rooms
                        House Troelstralaan                            ,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²,4 rooms
                        Apartment Beemsterstraat 542 F2                            ,            1024 BV Amsterdam (Waterlandpleinbuurt)        ,"                €1,295 per month            ",83 m²,3 rooms
                        Apartment Dam                            ,            1012 JS Amsterdam (Burgwallen-Oude Zijde)        ,"                €5,500 per month            ",125 m²,3 rooms
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms
                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",52 m²,2 rooms
                        Apartment Van Eeghenstraat 103 2                            ,            1071 EZ Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",204 m²,6 rooms
                        Apartment Nieuwe Prinsengracht                            ,            1018 VT Amsterdam (Weesperbuurt/Plantage)        ,"                €2,300 per month            ",75 m²,2 rooms
                        Apartment Evertsweertplantsoen 22                            ,            1069 RL Amsterdam (Osdorp-Midden)        ,"                €1,849 per month            ",60 m²,2 rooms
                        Apartment Keizersstraat                            ,            1011 GD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",100 m²,3 rooms
                        Apartment Brouwersgracht 180 A                            ,            1013 HC Amsterdam (Haarlemmerbuurt)        ,"                €7,000 per month            ",200 m²,4 rooms
                        House Prinsengracht 264                            ,            1016 HH Amsterdam (Jordaan)        ,"                €9,500 per month            ",240 m²,7 rooms
                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €4,950 per month            ",185 m²,6 rooms
                        Apartment Kerkstraat 132 A                            ,            1017 GP Amsterdam (Grachtengordel-Zuid)        ,"                €3,450 per month            ",129 m²,4 rooms
                        Apartment Minervalaan                            ,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,450 per month            ",164 m²,6 rooms
                        Apartment Leeuwenwerf                            ,            1018 KA Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,450 per month            ",104 m²,4 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        House Moestuinlaan                            ,            1036 KD Amsterdam (Tuindorp Oostzaan)        ,"                €4,500 per month            ",200 m²,10 rooms
                        Apartment Van Breestraat 90 II                            ,            1071 ZS Amsterdam (Museumkwartier)        ,"                €4,250 per month            ",122 m²,7 rooms
                        Apartment Esplanade de Meer                            ,            1098 WN Amsterdam (Middenmeer)        ,"                €2,500 per month            ",96 m²,3 rooms
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,694 per month            ",89 m²,2 rooms
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,568 per month            ",64 m²,2 rooms
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,265 per month            ",63 m²,2 rooms
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,487 per month            ",71 m²,2 rooms
                        Apartment Plantage Middenlaan                            ,            1018 DE Amsterdam (Weesperbuurt/Plantage)        ,"                €3,150 per month            ",147 m²,4 rooms
                        Apartment Grasweg 168                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",62 m²,3 rooms
                        Apartment Mary van der Sluisstraat 284 *                            ,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,250 per month            ",88 m²,3 rooms
                        Apartment Houthavenweg                            ,            1014 ZA Amsterdam (Houthavens)        ,"                €1,688 per month            ",60 m²,1 room
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,328 per month            ",43 m²,1 room
                        Apartment Lijnbaansgracht                            ,            1016 VX Amsterdam (Jordaan)        ,"                €7,500 per month            ",178 m²,2 rooms
                        Apartment Grasweg 148                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",69 m²,3 rooms
                        Apartment Grasweg 122                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,747 per month            ",90 m²,2 rooms
                        Apartment Ruysdaelkade 197 2                            ,            1072 AV Amsterdam (Nieuwe Pijp)        ,"                €1,865 per month            ",58 m²,3 rooms
                        Apartment Willem Parelstraat                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,850 per month            ",84 m²,3 rooms
                        Apartment Keizersgracht 385 B                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €9,750 per month            ",300 m²,5 rooms
                        Studio Wibautstraat 150                            ,            1091 GR Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",40 m²,1 room
                        Apartment Grasweg 278                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,446 per month            ",62 m²,3 rooms
                        Apartment Kalverstraat                            ,            1012 PH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",110 m²,4 rooms
                        Apartment Bos en Lommerplantsoen                            ,            1055 AA Amsterdam (De Kolenkit)        ,"                €4,500 per month            ",50 m²,2 rooms
                        Apartment Grasweg 124                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,154 per month            ",106 m²,3 rooms
                        Apartment Grasweg 344                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,773 per month            ",74 m²,3 rooms
                        Apartment Grasweg 138                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,540 per month            ",69 m²,3 rooms
                        Apartment Grasweg 292                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,447 per month            ",63 m²,3 rooms
                        Apartment Grasweg 152                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,367 per month            ",62 m²,3 rooms
                        Apartment Albert Cuypstraat 143 3                            ,            1072 CS Amsterdam (Oude Pijp)        ,"                €2,900 per month            ",53 m²,2 rooms
                        Studio August Allebéplein                            ,            1062 AC Amsterdam (Overtoomse Veld)        ,                €673 per month            ,30 m²,1 room
                        Apartment Prinsengracht                            ,            1016 GV Amsterdam (Grachtengordel-West)        ,"                €4,900 per month            ",100 m²,3 rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,654 per month            ",129 m²,4 rooms
                        Apartment Stromarkt                            ,            1012 SW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",65 m²,2 rooms
                        Apartment Stadionweg                            ,            1077 ST Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",120 m²,3 rooms
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,400 per month            ",105 m²,5 rooms
                        Studio Elizabeth Cady Stantonplein                            ,"            1102 BL Amsterdam (Bijlmer Centrum (D,F,H))        ",                €655 per month            ,30 m²,1 room
                        Apartment Tasmanstraat 3                            ,            1013 PW Amsterdam (Houthavens)        ,"                €2,150 per month            ",100 m²,4 rooms
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms
                        Apartment IJdok                            ,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €2,550 per month            ",55 m²,2 rooms
                        Apartment Amstelveenseweg                            ,            1075 XL Amsterdam (Schinkelbuurt)        ,"                €2,450 per month            ",70 m²,3 rooms
                        Apartment Des Présstraat 28 Hs                            ,            1075 NZ Amsterdam (Willemspark)        ,"                €2,000 per month            ",57 m²,3 rooms
                        Apartment Transvaalstraat                            ,            1092 HC Amsterdam (Transvaalbuurt)        ,"                €1,950 per month            ",67 m²,3 rooms
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RX Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,650 per month            ",51 m²,2 rooms
                        Apartment Retiefstraat                            ,            1092 XA Amsterdam (Transvaalbuurt)        ,"                €2,000 per month            ",65 m²,2 rooms
                        Apartment Solitudolaan 226                            ,            1096 DS Amsterdam (Omval/Overamstel)        ,"                €1,850 per month            ",65 m²,2 rooms
                        Apartment Eerste Oosterparkstraat                            ,            1091 GT Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",54 m²,3 rooms
                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LB Amsterdam (Frederik Hendrikbuurt)        ,"                €1,900 per month            ",55 m²,3 rooms
                        Apartment Van Spilbergenstraat                            ,            1057 RP Amsterdam (Hoofdweg e.o.)        ,"                €1,655 per month            ",50 m²,3 rooms
                        Apartment Avercampstraat 62                            ,            1072 RB Amsterdam (Nieuwe Pijp)        ,"                €1,850 per month            ",60 m²,3 rooms
                        Apartment Admiraal De Ruijterweg                            ,            1055 ND Amsterdam (Landlust)        ,"                €1,600 per month            ",61 m²,2 rooms
                        Apartment Admiraal De Ruijterweg                            ,            1055 ND Amsterdam (Landlust)        ,"                €1,600 per month            ",60 m²,2 rooms
                        Apartment Noorderstraat 58 B                            ,            1017 TV Amsterdam (De Weteringschans)        ,"                €2,500 per month            ",79 m²,3 rooms
                        Apartment Vrijheidslaan 11 3                            ,            1079 KA Amsterdam (Rijnbuurt)        ,"                €2,750 per month            ",100 m²,4 rooms
                        Apartment Kanaalstraat                            ,            1054 XB Amsterdam (Overtoomse Sluis)        ,"                €2,650 per month            ",110 m²,3 rooms
                        Apartment Valkenburgerstraat 132 D                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,650 per month            ",95 m²,3 rooms
                        Apartment Tweede Atjehstraat 49 1                            ,            1094 LD Amsterdam (Indische Buurt West)        ,"                €1,850 per month            ",60 m²,3 rooms
                        Apartment ms. van Riemsdijkweg 270                            ,            1033 RD Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,850 per month            ",62 m²,2 rooms
                        Apartment Vierwindendwarsstraat 17                            ,            1013 LB Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",63 m²,3 rooms
                        Apartment Jacob van Lennepstraat 64 2B                            ,            1053 HL Amsterdam (Van Lennepbuurt)        ,"                €1,750 per month            ",40 m²,2 rooms
                        Apartment Leliegracht                            ,            1016 GN Amsterdam (Grachtengordel-West)        ,"                €1,950 per month            ",69 m²,2 rooms
                        Apartment Buyskade                            ,            1051 MD Amsterdam (Staatsliedenbuurt)        ,"                €1,300 per month            ",67 m²,1 room
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Rustenburgerstraat 133 HS                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",57 m²,3 rooms
                        Apartment Sloterkade 77 3                            ,            1058 HH Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",85 m²,4 rooms
                        Apartment Schierstins                            ,            1082 TJ Amsterdam (Buitenveldert-West)        ,"                €1,750 per month            ",67 m²,3 rooms
                        Apartment Crynssenstraat                            ,            1058 XX Amsterdam (Westindische Buurt)        ,"                €2,850 per month            ",90 m²,4 rooms
                        Apartment Sem Presserhof 93                            ,            1087 JE Amsterdam (IJburg West)        ,"                €2,200 per month            ",124 m²,4 rooms
                        Apartment Buyskade                            ,            1051 MD Amsterdam (Staatsliedenbuurt)        ,"                €1,450 per month            ",74 m²,2 rooms
                        Apartment Admiralengracht                            ,            1057 EZ Amsterdam (Chassébuurt)        ,"                €2,950 per month            ",96 m²,4 rooms
                        Apartment Pieter Calandlaan                            ,            1068 NK Amsterdam (Osdorp-Oost)        ,"                €2,000 per month            ",82 m²,4 rooms
                        Apartment Hogeweg                            ,            1098 BT Amsterdam (Middenmeer)        ,"                €2,500 per month            ",70 m²,3 rooms
                        Apartment Tweede Boerhaavestraat 78 HS                            ,            1091 AR Amsterdam (Oosterparkbuurt)        ,"                €2,750 per month            ",120 m²,5 rooms
                        Apartment Bloemgracht 191 C                            ,            1016 KP Amsterdam (Jordaan)        ,"                €2,200 per month            ",67 m²,3 rooms
                        Apartment Van Baerlestraat 36 1                            ,            1071 AX Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",60 m²,2 rooms
                        Apartment Oudeschans 79 R                            ,            1011 KW Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,400 per month            ",80 m²,3 rooms
                        Apartment Amstel 298 L                            ,            1017 AN Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",63 m²,3 rooms
                        Apartment Nieuwe Looiersstraat                            ,            1017 VA Amsterdam (De Weteringschans)        ,"                €2,850 per month            ",90 m²,3 rooms
                        Apartment Zocherstraat 29 1                            ,            1054 LR Amsterdam (Overtoomse Sluis)        ,"                €2,750 per month            ",84 m²,3 rooms
                        Apartment KNSM-laan 465                            ,            1019 LG Amsterdam (Oostelijk Havengebied)        ,"                €1,850 per month            ",86 m²,3 rooms
                        Apartment Zeeburgerkade 1204                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                €2,300 per month            ",105 m²,4 rooms
                        Apartment Oldengaarde 87                            ,            1083 TE Amsterdam (Buitenveldert-Oost)        ,"                €1,850 per month            ",80 m²,3 rooms
                        Apartment Ferdinand Bolstraat                            ,            1072 LC Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",80 m²,3 rooms
                        Apartment H. Cleyndertweg 589                            ,            1025 DX Amsterdam (Buikslotermeer)        ,"                €2,000 per month            ",81 m²,4 rooms
                        Apartment Van Ollefenstraat                            ,            1065 LK Amsterdam (Slotervaart Zuid)        ,"                €1,350 per month            ",69 m²,3 rooms
