Title,Location,Price,Area,Rooms
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment President Steynstraat 13 2                            ,            1091 NB Amsterdam (Transvaalbuurt)        ,"                €1,800 per month            ",60 m²,3 rooms
                        Apartment Th. J. Lammerslaan 17                            ,            1064 DH Amsterdam (Slotermeer-Zuidwest)        ,"                €1,875 per month            ",80 m²,3 rooms
                        Apartment Eerste Hugo de Grootstraat                            ,            1052 KK Amsterdam (Frederik Hendrikbuurt)        ,"                €2,300 per month            ",65 m²,3 rooms
                        Apartment Schippersstraat                            ,            1011 AZ Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,400 per month            ",115 m²,4 rooms
                        Apartment Wildenborch 75                            ,            1082 KC Amsterdam (Buitenveldert-West)        ,"                €3,250 per month            ",135 m²,4 rooms
                        Apartment Jacob Catskade                            ,            1052 CB Amsterdam (Staatsliedenbuurt)        ,"                €2,650 per month            ",90 m²,3 rooms
                        Apartment Zeeburgerkade                            ,            1019 HR Amsterdam (Oostelijk Havengebied)        ,"                €2,000 per month            ",107 m²,3 rooms
                        Apartment Ceintuurbaan                            ,            1074 EC Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",52 m²,3 rooms
                        Apartment Nieuwe Achtergracht                            ,            1018 WN Amsterdam (Weesperbuurt/Plantage)        ,"                €2,000 per month            ",54 m²,3 rooms
                        Apartment Valeriusstraat 60 II                            ,            1071 ML Amsterdam (Museumkwartier)        ,"                €3,950 per month            ",130 m²,5 rooms
                        House Joke Smitstraat 7                            ,"            1103 DD Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,650 per month            ",133 m²,6 rooms
                        Apartment Beethovenstraat                            ,            1077 JW Amsterdam (Apollobuurt)        ,"                €2,250 per month            ",120 m²,4 rooms
                        Apartment Nieuwe Kerkstraat 114 bel                            ,            1018 VM Amsterdam (Weesperbuurt/Plantage)        ,"                €2,000 per month            ",75 m²,2 rooms
                        Apartment Louis Davidsstraat                            ,            1068 SJ Amsterdam (Osdorp-Oost)        ,"                €2,250 per month            ",60 m²,2 rooms
                        Studio Singel                            ,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,550 per month            ",33 m²,1 room
                        Apartment Boomstraat 23 A                            ,            1015 LA Amsterdam (Jordaan)        ,"                €3,850 per month            ",125 m²,5 rooms
                        Apartment Kinkerstraat 132 B                            ,            1053 EE Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",55 m²,2 rooms
                        Apartment Oeverpad 199 PP                            ,            1068 PH Amsterdam (Osdorp-Oost)        ,"                €2,500 per month            ",124 m²,4 rooms
                        Apartment Havikshorst                            ,            1083 TT Amsterdam (Buitenveldert-Oost)        ,"                €1,600 per month            ",47 m²,2 rooms
                        Apartment Bramzeilhof 6                            ,            1034 LG Amsterdam (Banne Buiksloot)        ,"                €1,750 per month            ",75 m²,3 rooms
                        Apartment Reyer Anslostraat 17 2                            ,            1054 KT Amsterdam (Overtoomse Sluis)        ,"                €2,750 per month            ",112 m²,4 rooms
                        Apartment Jacob van Lennepstraat 241 A                            ,            1053 JD Amsterdam (Van Lennepbuurt)        ,"                €1,850 per month            ",55 m²,3 rooms
                        Apartment Bankastraat                            ,            1094 EE Amsterdam (Indische Buurt West)        ,"                €1,975 per month            ",55 m²,3 rooms
                        Apartment Saxenburgerstraat 12 1                            ,            1054 KP Amsterdam (Overtoomse Sluis)        ,"                €2,250 per month            ",65 m²,2 rooms
                        Apartment Dusartstraat 41 1                            ,            1072 HN Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",55 m²,3 rooms
                        Apartment Henri Polaklaan 7 4                            ,            1018 CP Amsterdam (Weesperbuurt/Plantage)        ,"                €2,000 per month            ",70 m²,3 rooms
                        Apartment Joos Banckersweg 21 2                            ,            1056 ER Amsterdam (Landlust)        ,"                €2,250 per month            ",80 m²,2 rooms
                        Apartment Schierstins                            ,            1082 TE Amsterdam (Buitenveldert-West)        ,"                €1,600 per month            ",63 m²,3 rooms
                        Apartment Kanaalstraat                            ,            1054 XC Amsterdam (Overtoomse Sluis)        ,"                €3,100 per month            ",130 m²,3 rooms
                        Apartment Weesperzijde                            ,            1091 EJ Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",78 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Schierstins                            ,            1082 TG Amsterdam (Buitenveldert-West)        ,"                €1,850 per month            ",45 m²,2 rooms
                        House Linnaeusparkweg                            ,            1098 EP Amsterdam (Middenmeer)        ,"                €2,500 per month            ",111 m²,3 rooms
                        Apartment Javastraat 188 1                            ,            1095 CN Amsterdam (Indische Buurt Oost)        ,"                €1,750 per month            ",60 m²,3 rooms
                        Apartment Nieuwe Jonkerstraat                            ,            1011 CM Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,975 per month            ",91 m²,4 rooms
                        Apartment Herengracht 248 A                            ,            1016 BV Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",151 m²,3 rooms
                        Apartment Hunzestraat 126 II                            ,            1079 WJ Amsterdam (Rijnbuurt)        ,"                €2,750 per month            ",115 m²,4 rooms
                        Apartment Saxen-Weimarlaan 20                            ,            1075 CB Amsterdam (Willemspark)        ,"                €5,250 per month            ",170 m²,6 rooms
                        Apartment Ter Haarstraat                            ,            1053 LJ Amsterdam (Da Costabuurt)        ,"                €2,150 per month            ",68 m²,3 rooms
                        Apartment Ter Haarstraat                            ,            1053 LJ Amsterdam (Da Costabuurt)        ,"                €2,000 per month            ",58 m²,3 rooms
                        Apartment Tuinstraat 179 3                            ,            1015 PC Amsterdam (Jordaan)        ,"                €3,500 per month            ",105 m²,3 rooms
                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,395 per month            ",40 m²,2 rooms
                        Apartment Nieuw Herlaer                            ,            1083 BC Amsterdam (Buitenveldert-Oost)        ,"                €2,350 per month            ",128 m²,3 rooms
                        Apartment Utrechtsedwarsstraat                            ,            1017 WG Amsterdam (De Weteringschans)        ,"                €3,250 per month            ",98 m²,4 rooms
                        Apartment Kuipersstraat                            ,            1073 ER Amsterdam (Nieuwe Pijp)        ,"                €2,400 per month            ",53 m²,3 rooms
                        Apartment Herculesstraat                            ,            1076 SM Amsterdam (Stadionbuurt)        ,"                €2,250 per month            ",65 m²,3 rooms
                        Apartment Pieter Aertszstraat                            ,            1073 SK Amsterdam (Nieuwe Pijp)        ,"                €3,000 per month            ",60 m²,3 rooms
                        Apartment Karel du Jardinstraat 45 2                            ,            1072 SG Amsterdam (Nieuwe Pijp)        ,"                €2,200 per month            ",60 m²,2 rooms
                        Apartment Willem Frederik Hermansstraat 69                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,750 per month            ",122 m²,4 rooms
                        Apartment Prinseneiland 50 2L                            ,            1013 LR Amsterdam (Haarlemmerbuurt)        ,"                €2,700 per month            ",110 m²,3 rooms
                        Apartment Marco Polostraat 263 3                            ,            1056 DM Amsterdam (Van Galenbuurt)        ,"                €1,700 per month            ",50 m²,2 rooms
                        Apartment Nicolaas Maesstraat 65 3                            ,            1071 PR Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",62 m²,3 rooms
                        Apartment Baarsjesweg 250 3                            ,            1058 AB Amsterdam (Westindische Buurt)        ,"                €2,500 per month            ",90 m²,2 rooms
                        House Balearenlaan 82                            ,            1060 TM Amsterdam (Middelveldsche Akerpolder)        ,"                €2,750 per month            ",210 m²,7 rooms
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,100 per month            ",80 m²,3 rooms
